,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
364,37,Stayed,Travel_Rarely,921,Research & Development,10,Bachelor's degree,Medical,1,486,Great,Female,98,Great,1,Laboratory Technician,Low,Married,3452,17663,6,Y,No,20,Excellent,Good,80,1,17,3,Great,5,4,0,3
365,46,Stayed,Non-Travel,1144,Research & Development,7,Master's degree,Medical,1,487,Great,Female,30,Great,2,Manufacturing Director,Great,Married,5258,16044,2,Y,No,14,Great,Great,80,0,7,2,Excellent,1,0,0,0
366,41,Churned,Travel_Frequently,143,Sales,4,Bachelor's degree,Marketing,1,488,Low,Male,56,Great,2,Sales Executive,Good,Single,9355,9558,1,Y,No,18,Great,Great,80,0,8,5,Great,8,7,7,7
367,50,Stayed,Travel_Rarely,1046,Research & Development,10,Bachelor's degree,Technical Degree,1,491,Excellent,Male,100,Good,3,Healthcare Representative,Excellent,Single,10496,2755,6,Y,No,15,Great,Excellent,80,0,20,2,Great,4,3,1,3
368,40,Churned,Travel_Rarely,575,Sales,22,College,Marketing,1,492,Great,Male,68,Good,2,Sales Executive,Great,Married,6380,6110,2,Y,Yes,12,Great,Low,80,2,8,6,Great,6,4,1,0
369,31,Stayed,Travel_Rarely,408,Research & Development,9,Master's degree,Life Sciences,1,493,Great,Male,42,Good,1,Research Scientist,Good,Single,2657,7551,0,Y,Yes,16,Great,Excellent,80,0,3,5,Great,2,2,2,2
370,21,Churned,Travel_Rarely,156,Sales,12,Bachelor's degree,Life Sciences,1,494,Great,Female,90,Excellent,1,Sales Representative,Good,Single,2716,25422,1,Y,No,15,Great,Excellent,80,0,1,0,Great,1,0,0,0
371,29,Stayed,Travel_Rarely,1283,Research & Development,23,Bachelor's degree,Life Sciences,1,495,Excellent,Male,54,Great,1,Research Scientist,Excellent,Single,2201,18168,9,Y,No,16,Great,Excellent,80,0,6,4,Great,3,2,1,2
372,35,Stayed,Travel_Rarely,755,Research & Development,9,Master's degree,Life Sciences,1,496,Great,Male,97,Good,2,Healthcare Representative,Good,Single,6540,19394,9,Y,No,19,Great,Great,80,0,10,5,Great,1,1,0,0
373,27,Stayed,Travel_Rarely,1469,Research & Development,1,College,Medical,1,497,Excellent,Male,82,Great,1,Laboratory Technician,Good,Divorced,3816,17881,1,Y,No,11,Great,Good,80,1,5,2,Great,5,2,0,4
374,28,Stayed,Travel_Rarely,304,Sales,9,Master's degree,Life Sciences,1,498,Good,Male,92,Great,2,Sales Executive,Excellent,Single,5253,20750,1,Y,No,16,Great,Excellent,80,0,7,1,Great,7,5,0,7
375,49,Stayed,Travel_Rarely,1261,Research & Development,7,Bachelor's degree,Other,1,499,Good,Male,31,Good,3,Healthcare Representative,Great,Single,10965,12066,8,Y,No,24,Excellent,Great,80,0,26,2,Great,5,2,0,0
376,51,Stayed,Travel_Rarely,1178,Sales,14,College,Life Sciences,1,500,Great,Female,87,Great,2,Sales Executive,Excellent,Married,4936,14862,4,Y,No,11,Great,Great,80,1,18,2,Good,7,7,0,7
377,36,Stayed,Travel_Rarely,329,Research & Development,2,Bachelor's degree,Life Sciences,1,501,Excellent,Female,96,Great,1,Research Scientist,Great,Married,2543,11868,4,Y,No,13,Great,Good,80,1,6,3,Great,2,2,2,2
378,34,Churned,Non-Travel,1362,Sales,19,Bachelor's degree,Marketing,1,502,Low,Male,67,Excellent,2,Sales Executive,Excellent,Single,5304,4652,8,Y,Yes,13,Great,Good,80,0,9,3,Good,5,2,0,4
379,55,Stayed,Travel_Rarely,1311,Research & Development,2,Bachelor's degree,Life Sciences,1,505,Great,Female,97,Great,4,Manager,Excellent,Single,16659,23258,2,Y,Yes,13,Great,Great,80,0,30,2,Great,5,4,1,2
380,24,Stayed,Travel_Rarely,1371,Sales,10,Master's degree,Marketing,1,507,Excellent,Female,77,Great,2,Sales Executive,Great,Divorced,4260,5915,1,Y,Yes,12,Great,Excellent,80,1,5,2,Excellent,5,2,0,3
381,30,Stayed,Travel_Rarely,202,Sales,2,Below College,Technical Degree,1,508,Great,Male,72,Great,1,Sales Representative,Good,Married,2476,17434,1,Y,No,18,Great,Low,80,1,1,3,Great,1,0,0,0
382,26,Churned,Travel_Frequently,575,Research & Development,3,Below College,Technical Degree,1,510,Great,Male,73,Great,1,Research Scientist,Low,Single,3102,6582,0,Y,No,22,Excellent,Great,80,0,7,2,Great,6,4,0,4
383,22,Stayed,Travel_Rarely,253,Research & Development,11,Bachelor's degree,Medical,1,511,Low,Female,43,Great,1,Research Scientist,Good,Married,2244,24440,1,Y,No,13,Great,Excellent,80,1,2,1,Great,2,1,1,2
384,36,Stayed,Travel_Rarely,164,Sales,2,College,Medical,1,513,Good,Male,61,Good,3,Sales Executive,Great,Married,7596,3809,1,Y,No,13,Great,Good,80,2,10,2,Great,10,9,9,0
385,30,Churned,Travel_Frequently,464,Research & Development,4,Bachelor's degree,Technical Degree,1,514,Great,Male,40,Great,1,Research Scientist,Excellent,Single,2285,3427,9,Y,Yes,23,Excellent,Great,80,0,3,4,Great,1,0,0,0
386,37,Stayed,Travel_Rarely,1107,Research & Development,14,Bachelor's degree,Life Sciences,1,515,Excellent,Female,95,Great,1,Laboratory Technician,Low,Divorced,3034,26914,1,Y,No,12,Great,Great,80,1,18,2,Good,18,7,12,17
387,40,Stayed,Travel_Rarely,759,Sales,2,College,Marketing,1,516,Excellent,Female,46,Great,2,Sales Executive,Good,Divorced,5715,22553,7,Y,No,12,Great,Great,80,2,8,5,Great,5,4,1,3
388,42,Stayed,Travel_Rarely,201,Research & Development,1,Master's degree,Life Sciences,1,517,Good,Female,95,Great,1,Laboratory Technician,Low,Divorced,2576,20490,3,Y,No,16,Great,Good,80,1,8,5,Great,5,2,1,2
389,37,Stayed,Travel_Rarely,1305,Research & Development,10,Master's degree,Life Sciences,1,518,Great,Male,49,Great,2,Manufacturing Director,Good,Single,4197,21123,2,Y,Yes,12,Great,Excellent,80,0,18,2,Good,1,0,0,1
390,43,Stayed,Travel_Rarely,982,Research & Development,12,Bachelor's degree,Life Sciences,1,520,Low,Male,59,Good,4,Research Director,Good,Divorced,14336,4345,1,Y,No,11,Great,Great,80,1,25,3,Great,25,10,3,9
391,40,Stayed,Travel_Rarely,555,Research & Development,2,Bachelor's degree,Medical,1,521,Good,Female,78,Good,2,Laboratory Technician,Great,Married,3448,13436,6,Y,No,22,Excellent,Good,80,1,20,3,Great,1,0,0,0
392,54,Stayed,Travel_Rarely,821,Research & Development,5,College,Medical,1,522,Low,Male,86,Great,5,Research Director,Low,Married,19406,8509,4,Y,No,11,Great,Great,80,1,24,4,Good,4,2,1,2
393,34,Stayed,Non-Travel,1381,Sales,4,Master's degree,Marketing,1,523,Great,Female,72,Great,2,Sales Executive,Great,Married,6538,12740,9,Y,No,15,Great,Low,80,1,6,3,Great,3,2,1,2
394,31,Stayed,Travel_Rarely,480,Research & Development,7,College,Medical,1,524,Good,Female,31,Great,2,Manufacturing Director,Low,Married,4306,4156,1,Y,No,12,Great,Good,80,1,13,5,Low,13,10,3,12
395,43,Stayed,Travel_Frequently,313,Research & Development,21,Bachelor's degree,Medical,1,525,Excellent,Male,61,Great,1,Laboratory Technician,Excellent,Married,2258,15238,7,Y,No,20,Excellent,Low,80,1,8,1,Great,3,2,1,2
396,43,Stayed,Travel_Rarely,1473,Research & Development,8,Master's degree,Other,1,526,Great,Female,74,Great,2,Healthcare Representative,Great,Divorced,4522,2227,4,Y,Yes,14,Great,Excellent,80,0,8,3,Great,5,2,0,2
397,25,Stayed,Travel_Rarely,891,Sales,4,College,Life Sciences,1,527,Good,Female,99,Good,2,Sales Executive,Excellent,Single,4487,12090,1,Y,Yes,11,Great,Good,80,0,5,3,Great,5,4,1,3
398,37,Stayed,Non-Travel,1063,Research & Development,25,PhD,Medical,1,529,Good,Female,72,Great,2,Research Scientist,Great,Married,4449,23866,3,Y,Yes,15,Great,Low,80,2,15,2,Great,13,11,10,7
399,31,Stayed,Travel_Rarely,329,Research & Development,1,College,Life Sciences,1,530,Excellent,Male,98,Good,1,Laboratory Technician,Low,Married,2218,16193,1,Y,No,12,Great,Great,80,1,4,3,Great,4,2,3,2
400,39,Stayed,Travel_Frequently,1218,Research & Development,1,Below College,Life Sciences,1,531,Good,Male,52,Great,5,Manager,Great,Divorced,19197,8213,1,Y,Yes,14,Great,Great,80,1,21,3,Great,21,8,1,6
401,56,Stayed,Travel_Frequently,906,Sales,6,Bachelor's degree,Life Sciences,1,532,Great,Female,86,Excellent,4,Sales Executive,Low,Married,13212,18256,9,Y,No,11,Great,Excellent,80,3,36,0,Good,7,7,7,7
402,30,Stayed,Travel_Rarely,1082,Sales,12,Bachelor's degree,Technical Degree,1,533,Good,Female,83,Great,2,Sales Executive,Great,Single,6577,19558,0,Y,No,11,Great,Good,80,0,6,6,Great,5,4,4,4
403,41,Stayed,Travel_Rarely,645,Sales,1,Bachelor's degree,Marketing,1,534,Good,Male,49,Excellent,3,Sales Executive,Low,Married,8392,19566,1,Y,No,16,Great,Great,80,1,10,2,Great,10,7,0,7
404,28,Stayed,Travel_Rarely,1300,Research & Development,17,College,Medical,1,536,Great,Male,79,Great,2,Laboratory Technician,Low,Divorced,4558,13535,1,Y,No,12,Great,Excellent,80,1,10,2,Great,10,0,1,8
405,25,Churned,Travel_Rarely,688,Research & Development,3,Bachelor's degree,Medical,1,538,Low,Male,91,Great,1,Laboratory Technician,Low,Married,4031,9396,5,Y,No,13,Great,Great,80,1,6,5,Great,2,2,0,2
406,52,Stayed,Travel_Rarely,319,Research & Development,3,Bachelor's degree,Medical,1,543,Excellent,Male,39,Good,3,Manufacturing Director,Great,Married,7969,19609,2,Y,Yes,14,Great,Great,80,0,28,4,Great,5,4,0,4
407,45,Stayed,Travel_Rarely,192,Research & Development,10,College,Life Sciences,1,544,Low,Male,69,Great,1,Research Scientist,Excellent,Married,2654,9655,3,Y,No,21,Excellent,Excellent,80,2,8,3,Good,2,2,0,2
408,52,Stayed,Travel_Rarely,1490,Research & Development,4,College,Life Sciences,1,546,Excellent,Female,30,Great,4,Manager,Excellent,Married,16555,10310,2,Y,No,13,Great,Excellent,80,0,31,2,Low,5,2,1,4
409,42,Stayed,Travel_Frequently,532,Research & Development,29,College,Life Sciences,1,547,Low,Female,92,Great,2,Research Scientist,Great,Divorced,4556,12932,2,Y,No,11,Great,Good,80,1,19,3,Great,5,4,0,2
410,30,Stayed,Travel_Rarely,317,Research & Development,2,Bachelor's degree,Life Sciences,1,548,Great,Female,43,Low,2,Manufacturing Director,Excellent,Single,6091,24793,2,Y,No,20,Excellent,Great,80,0,11,2,Great,5,4,0,2
411,60,Stayed,Travel_Rarely,422,Research & Development,7,Bachelor's degree,Life Sciences,1,549,Low,Female,41,Great,5,Manager,Low,Married,19566,3854,5,Y,No,11,Great,Excellent,80,0,33,5,Low,29,8,11,10
412,46,Stayed,Travel_Rarely,1485,Research & Development,18,Bachelor's degree,Medical,1,550,Great,Female,87,Great,2,Manufacturing Director,Great,Divorced,4810,26314,2,Y,No,14,Great,Great,80,1,19,5,Good,10,7,0,8
413,42,Stayed,Travel_Frequently,1368,Research & Development,28,Master's degree,Technical Degree,1,551,Excellent,Female,88,Good,2,Healthcare Representative,Excellent,Married,4523,4386,0,Y,No,11,Great,Excellent,80,3,7,4,Excellent,6,5,0,4
414,24,Churned,Travel_Rarely,1448,Sales,1,Below College,Technical Degree,1,554,Low,Female,62,Great,1,Sales Representative,Good,Single,3202,21972,1,Y,Yes,16,Great,Good,80,0,6,4,Great,5,3,1,4
415,34,Churned,Travel_Frequently,296,Sales,6,College,Marketing,1,555,Excellent,Female,33,Low,1,Sales Representative,Great,Divorced,2351,12253,0,Y,No,16,Great,Excellent,80,1,3,3,Good,2,2,1,0
416,38,Stayed,Travel_Frequently,1490,Research & Development,2,College,Life Sciences,1,556,Excellent,Male,42,Great,1,Laboratory Technician,Excellent,Married,1702,12106,1,Y,Yes,23,Excellent,Great,80,1,1,3,Great,1,0,0,0
417,40,Stayed,Travel_Rarely,1398,Sales,2,Master's degree,Life Sciences,1,558,Great,Female,79,Great,5,Manager,Great,Married,18041,13022,0,Y,No,14,Great,Excellent,80,0,21,2,Great,20,15,1,12
418,26,Stayed,Travel_Rarely,1349,Research & Development,23,Bachelor's degree,Life Sciences,1,560,Low,Female,90,Great,1,Research Scientist,Excellent,Divorced,2886,3032,1,Y,No,22,Excellent,Good,80,2,3,3,Low,3,2,0,2
419,30,Stayed,Non-Travel,1400,Research & Development,3,Bachelor's degree,Life Sciences,1,562,Great,Male,53,Great,1,Laboratory Technician,Excellent,Married,2097,16734,4,Y,No,15,Great,Great,80,1,9,3,Low,5,3,1,4
420,29,Stayed,Travel_Rarely,986,Research & Development,3,Master's degree,Medical,1,564,Good,Male,93,Good,3,Research Director,Great,Married,11935,21526,1,Y,No,18,Great,Great,80,0,10,2,Great,10,2,0,7
421,29,Churned,Travel_Rarely,408,Research & Development,25,PhD,Technical Degree,1,565,Great,Female,71,Good,1,Research Scientist,Good,Married,2546,18300,5,Y,No,16,Great,Good,80,0,6,2,Excellent,2,2,1,1
422,19,Churned,Travel_Rarely,489,Human Resources,2,College,Technical Degree,1,566,Low,Male,52,Good,1,Human Resources,Excellent,Single,2564,18437,1,Y,No,12,Great,Great,80,0,1,3,Excellent,1,0,0,0
423,30,Stayed,Non-Travel,1398,Sales,22,Master's degree,Other,1,567,Great,Female,69,Great,3,Sales Executive,Low,Married,8412,2890,0,Y,No,11,Great,Great,80,0,10,3,Great,9,8,7,8
424,57,Stayed,Travel_Rarely,210,Sales,29,Bachelor's degree,Marketing,1,568,Low,Male,56,Good,4,Manager,Excellent,Divorced,14118,22102,3,Y,No,12,Great,Great,80,1,32,3,Good,1,0,0,0
425,50,Stayed,Travel_Rarely,1099,Research & Development,29,Master's degree,Life Sciences,1,569,Good,Male,88,Good,4,Manager,Great,Married,17046,9314,0,Y,No,15,Great,Good,80,1,28,2,Great,27,10,15,7
426,30,Stayed,Non-Travel,1116,Research & Development,2,Bachelor's degree,Medical,1,571,Great,Female,49,Great,1,Laboratory Technician,Excellent,Single,2564,7181,0,Y,No,14,Great,Great,80,0,12,2,Good,11,7,6,7
427,60,Stayed,Travel_Frequently,1499,Sales,28,Bachelor's degree,Marketing,1,573,Great,Female,80,Good,3,Sales Executive,Low,Married,10266,2845,4,Y,No,19,Great,Excellent,80,0,22,5,Excellent,18,13,13,11
428,47,Stayed,Travel_Rarely,983,Research & Development,2,College,Medical,1,574,Low,Female,65,Great,2,Manufacturing Director,Excellent,Divorced,5070,7389,5,Y,No,13,Great,Great,80,3,20,2,Great,5,0,0,4
429,46,Stayed,Travel_Rarely,1009,Research & Development,2,Bachelor's degree,Life Sciences,1,575,Low,Male,51,Great,4,Research Director,Great,Married,17861,2288,6,Y,No,13,Great,Great,80,0,26,2,Low,3,2,0,1
430,35,Stayed,Travel_Rarely,144,Research & Development,22,Bachelor's degree,Life Sciences,1,577,Excellent,Male,46,Low,1,Laboratory Technician,Great,Single,4230,19225,0,Y,No,15,Great,Great,80,0,6,2,Great,5,4,4,3
431,54,Stayed,Travel_Rarely,548,Research & Development,8,Master's degree,Life Sciences,1,578,Great,Female,42,Great,2,Laboratory Technician,Great,Single,3780,23428,7,Y,No,11,Great,Great,80,0,19,3,Great,1,0,0,0
432,34,Stayed,Travel_Rarely,1303,Research & Development,2,Master's degree,Life Sciences,1,579,Excellent,Male,62,Good,1,Research Scientist,Great,Divorced,2768,8416,3,Y,No,12,Great,Great,80,1,14,3,Great,7,3,5,7
433,46,Stayed,Travel_Rarely,1125,Sales,10,Bachelor's degree,Marketing,1,580,Great,Female,94,Good,3,Sales Executive,Excellent,Married,9071,11563,2,Y,Yes,19,Great,Great,80,1,15,3,Great,3,2,1,2
434,31,Stayed,Travel_Rarely,1274,Research & Development,9,Below College,Life Sciences,1,581,Great,Male,33,Great,3,Manufacturing Director,Good,Divorced,10648,14394,1,Y,No,25,Excellent,Excellent,80,1,13,6,Excellent,13,8,0,8
435,33,Churned,Travel_Rarely,1277,Research & Development,15,Below College,Medical,1,582,Good,Male,56,Great,3,Manager,Great,Married,13610,24619,7,Y,Yes,12,Great,Excellent,80,0,15,2,Excellent,7,6,7,7
436,33,Churned,Travel_Rarely,587,Research & Development,10,Below College,Medical,1,584,Low,Male,38,Low,1,Laboratory Technician,Excellent,Divorced,3408,6705,7,Y,No,13,Great,Low,80,3,8,2,Great,4,3,1,3
437,30,Stayed,Travel_Rarely,413,Sales,7,Below College,Marketing,1,585,Excellent,Male,57,Great,1,Sales Representative,Good,Single,2983,18398,0,Y,No,14,Great,Low,80,0,4,3,Great,3,2,1,2
438,35,Stayed,Travel_Rarely,1276,Research & Development,16,Bachelor's degree,Life Sciences,1,586,Excellent,Male,72,Great,3,Healthcare Representative,Great,Married,7632,14295,4,Y,Yes,12,Great,Great,80,0,10,2,Great,8,7,0,0
439,31,Churned,Travel_Frequently,534,Research & Development,20,Bachelor's degree,Life Sciences,1,587,Low,Male,66,Great,3,Healthcare Representative,Great,Married,9824,22908,3,Y,No,12,Great,Low,80,0,12,2,Great,1,0,0,0
440,34,Churned,Travel_Frequently,988,Human Resources,23,Bachelor's degree,Human Resources,1,590,Good,Female,43,Great,3,Human Resources,Low,Divorced,9950,11533,9,Y,Yes,15,Great,Great,80,3,11,2,Great,3,2,0,2
441,42,Stayed,Travel_Frequently,1474,Research & Development,5,College,Other,1,591,Good,Male,97,Great,1,Laboratory Technician,Great,Married,2093,9260,4,Y,No,17,Great,Excellent,80,1,8,4,Great,2,2,2,0
442,36,Stayed,Non-Travel,635,Sales,10,Master's degree,Medical,1,592,Good,Male,32,Great,3,Sales Executive,Excellent,Single,9980,15318,1,Y,No,14,Great,Excellent,80,0,10,3,Good,10,3,9,7
443,22,Churned,Travel_Frequently,1368,Research & Development,4,Below College,Technical Degree,1,593,Great,Male,99,Good,1,Laboratory Technician,Great,Single,3894,9129,5,Y,No,16,Great,Great,80,0,4,3,Great,2,2,1,2
444,48,Stayed,Travel_Rarely,163,Sales,2,PhD,Marketing,1,595,Good,Female,37,Great,2,Sales Executive,Excellent,Married,4051,19658,2,Y,No,14,Great,Low,80,1,14,2,Great,9,7,6,7
445,55,Stayed,Travel_Rarely,1117,Sales,18,PhD,Life Sciences,1,597,Low,Female,83,Great,4,Manager,Good,Single,16835,9873,3,Y,No,23,Excellent,Excellent,80,0,37,2,Great,10,9,7,7
446,41,Stayed,Non-Travel,267,Sales,10,College,Life Sciences,1,599,Excellent,Male,56,Great,2,Sales Executive,Excellent,Single,6230,13430,7,Y,No,14,Great,Excellent,80,0,16,3,Great,14,3,1,10
447,35,Stayed,Travel_Rarely,619,Sales,1,Bachelor's degree,Marketing,1,600,Good,Male,85,Great,2,Sales Executive,Great,Married,4717,18659,9,Y,No,11,Great,Great,80,0,15,2,Great,11,9,6,9
448,40,Stayed,Travel_Rarely,302,Research & Development,6,Bachelor's degree,Life Sciences,1,601,Good,Female,75,Great,4,Manufacturing Director,Great,Single,13237,20364,7,Y,No,15,Great,Great,80,0,22,3,Great,20,6,5,13
449,39,Stayed,Travel_Frequently,443,Research & Development,8,Below College,Life Sciences,1,602,Great,Female,48,Great,1,Laboratory Technician,Great,Married,3755,17872,1,Y,No,11,Great,Low,80,1,8,3,Great,8,3,0,7
450,31,Stayed,Travel_Rarely,828,Sales,2,Below College,Life Sciences,1,604,Good,Male,77,Great,2,Sales Executive,Excellent,Single,6582,8346,4,Y,Yes,13,Great,Great,80,0,10,2,Excellent,6,5,0,5
451,42,Stayed,Travel_Rarely,319,Research & Development,24,Bachelor's degree,Medical,1,605,Excellent,Male,56,Great,3,Manufacturing Director,Low,Married,7406,6950,1,Y,Yes,21,Excellent,Excellent,80,1,10,5,Good,10,9,5,8
452,45,Stayed,Travel_Rarely,561,Sales,2,Bachelor's degree,Other,1,606,Excellent,Male,61,Great,2,Sales Executive,Good,Married,4805,16177,0,Y,No,19,Great,Good,80,1,9,3,Excellent,8,7,3,7
453,26,Churned,Travel_Frequently,426,Human Resources,17,Master's degree,Life Sciences,1,608,Good,Female,58,Great,1,Human Resources,Great,Divorced,2741,22808,0,Y,Yes,11,Great,Good,80,1,8,2,Good,7,7,1,0
454,29,Stayed,Travel_Rarely,232,Research & Development,19,Bachelor's degree,Technical Degree,1,611,Excellent,Male,34,Great,2,Manufacturing Director,Excellent,Divorced,4262,22645,4,Y,No,12,Great,Good,80,2,8,2,Excellent,3,2,1,2
455,33,Stayed,Travel_Rarely,922,Research & Development,1,PhD,Medical,1,612,Low,Female,95,Excellent,4,Research Director,Great,Divorced,16184,22578,4,Y,No,19,Great,Great,80,1,10,2,Great,6,1,0,5
456,31,Stayed,Travel_Rarely,688,Sales,7,Bachelor's degree,Life Sciences,1,613,Great,Male,44,Good,3,Manager,Excellent,Divorced,11557,25291,9,Y,No,21,Excellent,Great,80,1,10,3,Good,5,4,0,1
457,18,Churned,Travel_Frequently,1306,Sales,5,Bachelor's degree,Marketing,1,614,Good,Male,69,Great,1,Sales Representative,Good,Single,1878,8059,1,Y,Yes,14,Great,Excellent,80,0,0,3,Great,0,0,0,0
458,40,Stayed,Non-Travel,1094,Sales,28,Bachelor's degree,Other,1,615,Great,Male,58,Low,3,Sales Executive,Low,Divorced,10932,11373,3,Y,No,15,Great,Great,80,1,20,2,Great,1,0,0,1
459,41,Stayed,Non-Travel,509,Research & Development,2,Master's degree,Other,1,616,Low,Female,62,Good,2,Healthcare Representative,Great,Single,6811,2112,2,Y,Yes,17,Great,Low,80,0,10,3,Great,8,7,0,7
460,26,Stayed,Travel_Rarely,775,Sales,29,College,Medical,1,618,Low,Male,45,Great,2,Sales Executive,Great,Divorced,4306,4267,5,Y,No,12,Great,Low,80,2,8,5,Great,0,0,0,0
461,35,Stayed,Travel_Rarely,195,Sales,1,Bachelor's degree,Medical,1,620,Low,Female,80,Great,2,Sales Executive,Great,Single,4859,6698,1,Y,No,16,Great,Excellent,80,0,5,3,Great,5,4,0,3
462,34,Stayed,Travel_Rarely,258,Sales,21,Master's degree,Life Sciences,1,621,Excellent,Male,74,Excellent,2,Sales Executive,Excellent,Single,5337,19921,1,Y,No,12,Great,Excellent,80,0,10,3,Great,10,7,5,7
463,26,Churned,Travel_Rarely,471,Research & Development,24,Bachelor's degree,Technical Degree,1,622,Great,Male,66,Low,1,Laboratory Technician,Excellent,Single,2340,23213,1,Y,Yes,18,Great,Good,80,0,1,3,Low,1,0,0,0
464,37,Stayed,Travel_Rarely,799,Research & Development,1,Bachelor's degree,Technical Degree,1,623,Good,Female,59,Great,3,Manufacturing Director,Excellent,Single,7491,23848,4,Y,No,17,Great,Excellent,80,0,12,3,Excellent,6,5,1,2
465,46,Stayed,Travel_Frequently,1034,Research & Development,18,Below College,Medical,1,624,Low,Female,86,Great,3,Healthcare Representative,Great,Married,10527,8984,5,Y,No,11,Great,Excellent,80,0,28,3,Good,2,2,1,2
466,41,Stayed,Travel_Rarely,1276,Sales,2,PhD,Life Sciences,1,625,Good,Female,91,Great,4,Manager,Low,Married,16595,5626,7,Y,No,16,Great,Good,80,1,22,2,Great,18,16,11,8
467,37,Stayed,Non-Travel,142,Sales,9,Master's degree,Medical,1,626,Low,Male,69,Great,3,Sales Executive,Good,Divorced,8834,24666,1,Y,No,13,Great,Excellent,80,1,9,6,Great,9,5,7,7
468,52,Stayed,Travel_Rarely,956,Research & Development,6,College,Technical Degree,1,630,Excellent,Male,78,Great,2,Research Scientist,Low,Divorced,5577,22087,3,Y,Yes,12,Great,Good,80,2,18,3,Great,10,9,6,9
469,32,Churned,Non-Travel,1474,Sales,11,Master's degree,Other,1,631,Excellent,Male,60,Excellent,2,Sales Executive,Great,Married,4707,23914,8,Y,No,12,Great,Excellent,80,0,6,2,Great,4,2,1,2
470,24,Stayed,Travel_Frequently,535,Sales,24,Bachelor's degree,Medical,1,632,Excellent,Male,38,Great,1,Sales Representative,Excellent,Married,2400,5530,0,Y,No,13,Great,Great,80,2,3,3,Great,2,2,2,1
471,38,Stayed,Travel_Rarely,1495,Research & Development,10,Bachelor's degree,Medical,1,634,Great,Female,76,Great,2,Healthcare Representative,Great,Married,9824,22174,3,Y,No,19,Great,Great,80,1,18,4,Great,1,0,0,0
472,37,Stayed,Travel_Rarely,446,Research & Development,1,Master's degree,Life Sciences,1,635,Good,Female,65,Great,2,Manufacturing Director,Good,Married,6447,15701,6,Y,No,12,Great,Good,80,1,8,2,Good,6,5,4,3
473,49,Stayed,Travel_Rarely,1245,Research & Development,18,Master's degree,Life Sciences,1,638,Excellent,Male,58,Good,5,Research Director,Great,Divorced,19502,2125,1,Y,Yes,17,Great,Great,80,1,31,5,Great,31,9,0,9
474,24,Stayed,Travel_Rarely,691,Research & Development,23,Bachelor's degree,Medical,1,639,Good,Male,89,Excellent,1,Research Scientist,Excellent,Married,2725,21630,1,Y,Yes,11,Great,Good,80,2,6,3,Great,6,5,1,4
475,26,Stayed,Travel_Rarely,703,Sales,28,College,Marketing,1,641,Low,Male,66,Great,2,Sales Executive,Good,Married,6272,7428,1,Y,No,20,Excellent,Excellent,80,2,6,5,Excellent,5,3,1,4
476,24,Stayed,Travel_Rarely,823,Research & Development,17,College,Other,1,643,Excellent,Male,94,Good,1,Laboratory Technician,Good,Married,2127,9100,1,Y,No,21,Excellent,Excellent,80,1,1,2,Great,1,0,0,0
477,50,Stayed,Travel_Frequently,1246,Human Resources,3,Bachelor's degree,Medical,1,644,Low,Male,99,Great,5,Manager,Good,Married,18200,7999,1,Y,No,11,Great,Great,80,1,32,2,Great,32,5,10,7
478,25,Stayed,Travel_Rarely,622,Sales,13,Below College,Medical,1,645,Good,Male,40,Great,1,Sales Representative,Great,Married,2096,26376,1,Y,No,11,Great,Great,80,0,7,1,Great,7,4,0,6
479,24,Churned,Travel_Frequently,1287,Research & Development,7,Bachelor's degree,Life Sciences,1,647,Low,Female,55,Great,1,Laboratory Technician,Great,Married,2886,14168,1,Y,Yes,16,Great,Excellent,80,1,6,4,Great,6,3,1,2
480,30,Churned,Travel_Frequently,448,Sales,12,Master's degree,Life Sciences,1,648,Good,Male,74,Good,1,Sales Representative,Low,Married,2033,14470,1,Y,No,18,Great,Great,80,1,1,2,Excellent,1,0,0,0
481,34,Stayed,Travel_Rarely,254,Research & Development,1,College,Life Sciences,1,649,Good,Male,83,Good,1,Research Scientist,Excellent,Married,3622,22794,1,Y,Yes,13,Great,Excellent,80,1,6,3,Great,6,5,1,3
482,31,Churned,Travel_Rarely,1365,Sales,13,Master's degree,Medical,1,650,Good,Male,46,Great,2,Sales Executive,Low,Divorced,4233,11512,2,Y,No,17,Great,Great,80,0,9,2,Low,3,1,1,2
483,35,Stayed,Travel_Rarely,538,Research & Development,25,College,Other,1,652,Low,Male,54,Good,2,Laboratory Technician,Excellent,Single,3681,14004,4,Y,No,14,Great,Excellent,80,0,9,3,Great,3,2,0,2
484,31,Stayed,Travel_Rarely,525,Sales,6,Master's degree,Medical,1,653,Low,Male,66,Excellent,2,Sales Executive,Excellent,Divorced,5460,6219,4,Y,No,22,Excellent,Excellent,80,2,13,4,Excellent,7,7,5,7
